schema_name;table_name;column_name;column_position;is_nullable_ind;data_type;character_maximum_length;numeric_precision;numeric_scale;hub_schema_name;hub_table_name;stg_schema_name;stg_table_name;stg_column_name;business_name;active_ind;special_ind;condition;comment
rdv;hsat_account;account_id;1;0;int;;;;rdv;hub_account;api;g_account;id;;1;0;;
rdv;hsat_account;account_ref_id;2;1;varchar;;;;rdv;hub_account;api;g_account;ref_id;;1;0;;
rdv;hsat_account;created_dts;3;1;timestamp;;;;rdv;hub_account;api;g_account;created;;1;0;;
rdv;hsat_account;modified_dts;4;1;timestamp;;;;rdv;hub_account;api;g_account;modified;;1;0;;
rdv;hsat_account;account_status_id;5;0;int;;;;rdv;hub_account;api;g_account;status_id;;1;0;;
rdv;hsat_user;user_id;1;0;int;;;;rdv;hub_user;api;g_users;id;;1;0;;
rdv;hsat_user;user_ref_id;2;0;varchar;;;;rdv;hub_user;api;g_users;ref_id;;1;0;;
rdv;hsat_user;user_status_id;3;1;int;;;;rdv;hub_user;api;g_users;status_id;;1;0;;
rdv;hsat_user;user_name;4;0;varchar;;;;rdv;hub_user;api;g_users;username;;1;0;;
rdv;hsat_user;enabled_ind;5;0;boolean;;;;rdv;hub_user;api;g_users;enabled;;1;0;;
rdv;hsat_user;created_dts;6;1;timestamp;;;;rdv;hub_user;api;g_users;created;;1;0;;
rdv;hsat_address;address_id;1;0;int;;;;rdv;hub_address;api;g_address;id;;1;0;;
rdv;hsat_address;address_type_id;2;1;int;;;;rdv;hub_address;api;g_address;address_type_id;;1;0;;
rdv;hsat_address;country_state_id;3;1;int;;;;rdv;hub_address;api;g_address;country_state_id;;1;0;;
rdv;hsat_address;postal_code;4;1;varchar;;;;rdv;hub_address;api;g_address;postal_code;;1;0;;
rdv;hsat_address;city;5;1;varchar;;;;rdv;hub_address;api;g_address;city;;1;0;;
rdv;hsat_card;card_id;1;0;bigint;;;;rdv;hub_card;api;g_card;id;;1;0;;
rdv;hsat_card;card_ref_id;2;1;varchar;;;;rdv;hub_card;api;g_card;ref_id;;1;0;;
rdv;hsat_card;created_dts;3;1;timestamp;;;;rdv;hub_card;api;g_card;created;;1;0;;
rdv;hsat_card;modified_dts;4;1;timestamp;;;;rdv;hub_card;api;g_card;modified;;1;0;;
rdv;hsat_card;card_status_id;5;0;int;;;;rdv;hub_card;api;g_card;status_id;;1;0;;
rdv;hsat_card;card_type_id;6;0;int;;;;rdv;hub_card;api;g_card;card_type_id;;1;0;;
rdv;hsat_card;card_representation_id;7;1;int;;;;rdv;hub_card;api;g_card;card_representation_id;;1;0;;
